순위,제목,저자,회사,가격
1,세이노의 가르침,세이노,데이원,"6,480"
2,이지성의 1만 킬로미터,이지성,차이정원,"16,200"
3,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,조승우,바이북스,"17,100"
4,흔한남매 13,"흔한남매, 백난도/유난희 그림/흔한컴퍼니 감수",미래엔아이세움,"13,050"
4,고래,천명관,문학동네,"13,500"
6,오십의 기술,이호선,카시오페아,"16,200"
7,감정에 휘둘리는 아이 감정을 잘 다루는 아이,손승현,빅피시,"15,120"
7,몰입 합본판,,알에이치코리아,"28,800"
7,요즘 어른을 위한 최소한의 맞춤법,이주윤,빅피시,"15,120"
7,설민석의 한국사 대모험 24,"설민석, 스토리박스/정현희 그림/강석화 감수",단꿈아이,"11,700"
7,내면소통,김주환,인플루엔셜,"29,700"
7,이미 늦었다고 생각하는 당신을 위한 김미경의 마흔 수업,김미경,어웨이크북스,"16,200"
13,사랑해 사랑해 사랑해(출간 15주년 기념판),버나뎃 로제티 슈스탁/신형건 역/캐롤라인 제인 처치 그림,보물창고,"10,620"
13,꽃을 보듯 너를 본다,,지혜,"9,900"
13,돈의 속성(200쇄 리커버에디션),김승호,스노우폭스북스,"16,020"
